"Zona geográfica","Li","Na","Mg","Al","Ca","Ti","V","Cr","Mn","Fe","Co","Ni","Cu","Zn","As","Se","Rb","Sr","Mo","Pd","Ag","Cd","Sn","Sb","Hg","207_Pb","208_Pb","Columna58","Columna59","Columna60","Columna61","Columna62","Columna63","Columna64","Columna65","Columna66","Columna67","Columna68","Columna69","Columna70","Columna71","Columna72","Columna73","Columna74","Columna75","Columna76","Columna77","Columna78","Columna79","Columna80","Columna81","Columna82","Columna83","Columna84","Columna85","Columna86","Columna87","Columna88","Columna89","Columna90","Columna91","Columna92","Columna93","Columna94","Columna95","Columna96","Columna97","Columna98","Columna99","Columna100","Columna101","Columna102","Columna103","Columna104","Columna105","Columna106","Columna107","Columna108","Columna109","Columna110","Columna111","Columna112","Columna113","Columna114","Columna115","Columna116","Columna117","Columna118","Columna119","Columna120","Columna121","Columna122","Columna123","Columna124","Columna125","Columna126","Columna127","Columna128","Columna129","Columna130","Columna131","Columna132","Columna133","Columna134","Columna135","Columna136","Columna137","Columna138","Columna139","Columna140","Columna141","Columna142","Columna143","Columna144","Columna145","Columna146"
"Valle de Uco",0.189523800977338,1.7856238403877,8.93875951577743,1.19754778205311,20.6607716435485,0.089234593947907,0.00361817267845,0.0001,0.10908999848696,6.75156804977269,0.002754384806206,0.897531864239275,0.129367380404825,1.12545734942594,0.043332649483354,0.044138443064042,0.118710148180737,0.118191020944324,0.005234673800001,0.00946205552172,0.0001,0.00100619528311,1.28032901155065,0.039003847596836,0.0001,0.008533486810895,0.017213337745794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.320959520374767,1.30000651351646,10.3210126309881,7.64666258892484,19.0175760683325,0.09826909216254,0.003282909676028,0.011205669445102,0.25775419518639,3.4014139604343,0.002221126612204,0.012589869256376,0.142695873071266,0.942520203392299,0.002267434473612,0.005866133381063,0.102683024190464,0.132712399655243,0.0001,0.035033724521163,0.0001,0.000424102539635,0.074362364293847,0.036812278691433,0.0001,0.040682502689537,0.04182846801248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,1.63806262151876,41.8490185520194,1.38947118994034,30.6559686896466,0.030242750262328,0.002484430119613,0.0001,0.851576584421875,7.13048221841137,0.003990895949396,0.0001,0.325424225607691,0.696596987708142,0.002402932376436,0.001759737907619,0.251282487314045,0.14364859954091,0.0001,0.02192035429356,0.00892749969661,8.43377686638765E-05,0.069668881531284,0.047817048031012,0.0001,4.15648350841835E-05,0.008262214966956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,1.13279396656261,68.7776968196186,1.08661085947623,51.0924975771842,0.040820053462313,0.003501442336348,0.0001,1.40091543606573,2.91417936051286,0.004358690201858,0.0001,0.394894336767301,1.08551919928977,0.003762660449361,0.008481483190554,0.334286086084685,0.168549063502915,0.003528608600311,0.010820889395923,0.0001,0.000171777676773,0.098760631571715,0.027797767094271,0.01616295550112,0.025738387413434,0.034914297524069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,1.03562304575203,78.7543439099395,0.856983980449979,51.463987430865,0.039237176665514,0.00329635973277,0.0001,1.59957928023791,1.92614699110913,0.003203447510311,0.0001,0.419195138812836,1.72474241559047,0.007425774433378,0.0001,0.273529817744439,0.145530170058266,0.0001,0.004101496513039,0.0001,0.000318131317956,0.084222749317671,0.067583859914333,0.0001,0.0001,0.004303668752333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.03426468655856,1.02161350169804,37.0408272202074,0.752294475079391,24.7815917589865,0.033479026212704,0.0001,0.006793098541602,0.653214439706237,1.54655002134181,0.001814020912514,0.001294152242027,0.2421186422289,0.549738687425874,0.003987349298546,0.000504648496802,0.169092260296901,0.096232592256294,0.0001,0.039458997873613,0.0001,0.0001,0.093694185029416,0.034047499307871,0.022801302835584,0.012795963275266,0.013356893224316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.044527213102825,1.44685152522781,59.8420919875554,3.09909923128219,42.510385336809,0.04413318986646,0.000619992152919,0.008478668926138,1.14581386620461,2.54005619156543,0.002091864289359,0.0001,0.430476143408761,0.871817072506474,0.006068885875319,0.005414079125551,0.252035009708055,0.186374800331521,0.0001,0.0176237159681,0.004148951777711,0.0005620468846,0.071899557997121,0.092392611901941,0.03185973249403,0.021312889357468,0.022033274179196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.1611751544352,1.01879786116906,9.98053203682629,1.19878232528365,16.7377066406293,0.030036991604394,0.0001,0.024628117078542,0.059114846857289,1.08442741618021,0.001543405794005,0.005224463264823,0.104782212879,0.604601665694666,0.00239060848827,0.003890749523004,0.084769255381974,0.070723922374421,0.002956094017671,0.04377171077207,0.0001,0.000356962176094,0.061589929071356,0.027989022147228,0.039622185846617,0.010637405537557,0.010310016007596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.067117417499017,6.49978568304844,33.5188425898785,1.11409304574101,23.6562276827759,0.037827942346142,0.000984254982827,0.014806629470135,1.00114105318578,2.10968303225961,0.008487888518464,0.0001,0.238077599167872,0.7107164440965,0.007235313975242,0.001222616375837,0.235837166324584,0.223508515764413,0.005402759781035,0.01200791160448,0.0001,0.000219469289717,0.24769972400554,0.020301374024765,0.116789043781086,0.012866801353669,0.013809476154425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Valle de Uco",0.0001,1.76868564346806,53.5187215644306,27.5737083768235,43.1846787991876,0.071393622652626,0.007204500176556,0.0001,1.12639289506547,3.10418540350428,0.004334239395399,0.0001,0.384888322233587,1.41163953862022,0.005888879489635,0.002372857736903,0.2945167105562,0.258154284467929,0.013805524295128,0.014353689185225,4.19279228796425E-05,0.003720181981564,0.116322109266607,0.027969529065992,0.018487485767781,0.038220572070973,0.048168200418193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
